model,manufacturer,kW,price,subsidy_normal,subsidy_long
CS-224DFL-W,パナソニック,2.2,57200,9000,20000
S224ATES-W,ダイキン,2.2,60500,9000,20000
AS-V224R,富士通ゼネラル,2.2,82500,15000,50000
CS-225DFL-W,パナソニック,2.2,83875,9000,20000
MSZ-GV2225-W,三菱電機,2.2,87450,9000,20000
S225ATES-W,ダイキン,2.2,88000,9000,20000
RAS-AJ22R-W,日立,2.2,88550,9000,20000
AY-S22DG,シャープ,2.2,111670,9000,20000
AS-C225S-W,富士通ゼネラル,2.2,132990,9000,20000
AS-D225S-W,富士通ゼネラル,2.2,144430,9000,20000
AY-S22E-W,シャープ,2.2,153165,9000,20000
AS-W224R,富士通ゼネラル,2.2,164401,15000,50000
AY-T22V-W,シャープ,2.2,182930,9000,20000
AS-Z225S-W,富士通ゼネラル,2.2,183109,15000,50000
AS-X225S-W,富士通ゼネラル,2.2,211280,15000,50000
CS-225DJ-W,パナソニック,2.2,220000,9000,20000
AY-R22P-W,シャープ,2.2,258709,9000,20000
AY-S22X-W,シャープ,2.2,277088,15000,50000
CS-225DGX-W,パナソニック,2.2,286000,9000,20000
CS-225DEX-W,パナソニック,2.2,319000,9000,20000
S223ATVS-W,ダイキン,2.2,330000,9000,20000
MSZ-AXV2225-W,三菱電機,2.2,341000,9000,20000
RAS-MJ22R-W,日立,2.2,352000,9000,20000
MSZ-BXV2225-W,三菱電機,2.2,352000,9000,20000
S223ATSS,ダイキン,2.2,352000,9000,20000
RAS-V22R-W,日立,2.2,363000,9000,20000
S225ATCS-W,ダイキン,2.2,374000,9000,20000
S224ATGS-W,ダイキン,2.2,385000,15000,50000
S224ATMS-W,ダイキン,2.2,396000,9000,20000
MSZ-JXV2225-W,三菱電機,2.2,396000,15000,50000
RAS-ZJ22R-W,日立,2.2,396000,15000,50000
S225ATAS-W,ダイキン,2.2,451000,15000,50000
RAS-XJ2225S-W,日立,2.2,462000,15000,50000
MSZ-ZXV2225-W,三菱電機,2.2,462000,15000,50000
CS-225DHX-W,パナソニック,2.2,473000,15000,50000
S225ATRS-W,ダイキン,2.2,495000,15000,50000
CS-224DLX-W,パナソニック,2.2,550000,15000,50000
AS-V254R,富士通ゼネラル,2.5,90750,18000,60000
CS-255DFL-W,パナソニック,2.5,94182,10000,30000
MSZ-GV2525-W,三菱電機,2.5,95920,10000,30000
RAS-AJ25R-W,日立,2.5,99770,10000,30000
S255ATES-W,ダイキン,2.5,103400,10000,30000
AY-S25DG,シャープ,2.5,121974,10000,30000
AS-C255S-W,富士通ゼネラル,2.5,139260,10000,30000
AS-D255S-W,富士通ゼネラル,2.5,152680,10000,30000
AY-S25E-W,シャープ,2.5,163189,10000,30000
AS-W254R,富士通ゼネラル,2.5,173660,18000,60000
AS-Z255S-W,富士通ゼネラル,2.5,192500,18000,60000
AY-T25V-W,シャープ,2.5,193160,10000,30000
AS-X255S-W,富士通ゼネラル,2.5,220671,18000,60000
CS-255DJ-W,パナソニック,2.5,242000,10000,30000
AY-R25P-W,シャープ,2.5,270127,10000,30000
AY-S25X-W,シャープ,2.5,287392,18000,60000
CS-255DGX-W,パナソニック,2.5,319000,10000,30000
MSZ-AXV2525-W,三菱電機,2.5,363000,10000,30000
CS-255DEX-W,パナソニック,2.5,363000,10000,30000
MSZ-BXV2525-W,三菱電機,2.5,385000,10000,30000
S253ATSS,ダイキン,2.5,385000,10000,30000
RAS-MJ25R-W,日立,2.5,396000,10000,30000
RAS-V25R-W,日立,2.5,407000,10000,30000
S255ATCS-W,ダイキン,2.5,407000,10000,30000
S254ATGS-W,ダイキン,2.5,418000,10000,30000
MSZ-JXV2525-W,三菱電機,2.5,429000,18000,60000
S254ATMS-W,ダイキン,2.5,429000,10000,30000
RAS-ZJ25R-W,日立,2.5,440000,18000,60000
S255ATAS-W,ダイキン,2.5,484000,18000,60000
CS-255DHX-W,パナソニック,2.5,495000,18000,60000
RAS-XJ2525S-W,日立,2.5,506000,18000,60000
MSZ-ZXV2525-W,三菱電機,2.5,506000,18000,60000
S255ATRS-W,ダイキン,2.5,539000,18000,60000
CS-254DLX-W,パナソニック,2.5,572000,18000,60000
S284ATES-W,ダイキン,2.8,75900,10000,30000
AS-V284R,富士通ゼネラル,2.8,99000,18000,60000
CS-285DFL-W,パナソニック,2.8,103807,10000,30000
MSZ-GV2825-W,三菱電機,2.8,105160,10000,30000
S285ATES-W,ダイキン,2.8,114400,10000,30000
AY-S28DG,シャープ,2.8,142582,10000,30000
AS-C285S-W,富士通ゼネラル,2.8,148830,10000,30000
AS-D285S-W,富士通ゼネラル,2.8,160930,10000,30000
AY-S28E-W,シャープ,2.8,184076,10000,30000
AS-W284R,富士通ゼネラル,2.8,187759,18000,60000
AS-Z285S-W,富士通ゼネラル,2.8,206585,18000,60000
AY-T28V-W,シャープ,2.8,213400,10000,30000
AS-X285S-W,富士通ゼネラル,2.8,234756,18000,60000
CS-285DJ-W,パナソニック,2.8,264000,10000,30000
AY-R28P-W,シャープ,2.8,282379,10000,30000
AY-S28X-W,シャープ,2.8,297696,18000,60000
CS-285DGX-W,パナソニック,2.8,374000,10000,30000
MSZ-AXV2825-W,三菱電機,2.8,396000,10000,30000
MSZ-AXV2825S-W,三菱電機,2.8,396000,10000,30000
MSZ-BXV2825-W,三菱電機,2.8,418000,10000,30000
CS-285DEX-W,パナソニック,2.8,418000,10000,30000
RAS-MJ28R-W,日立,2.8,429000,10000,30000
RAS-V28R-W,日立,2.8,440000,10000,30000
S284ATGS-W,ダイキン,2.8,451000,18000,60000
MSZ-FLV2821,三菱電機,2.8,451000,18000,60000
MSZ-JXV2825S-W,三菱電機,2.8,462000,18000,60000
MSZ-JXV2825-W,三菱電機,2.8,462000,18000,60000
S284ATMS-W,ダイキン,2.8,462000,10000,30000
RAS-ZJ28R-W,日立,2.8,473000,18000,60000
S285ATAS-W,ダイキン,2.8,517000,18000,60000
CS-285DHX-W,パナソニック,2.8,517000,18000,60000
CS-285DHX2-W,パナソニック,2.8,517000,18000,60000
RAS-XJ2825S-W,日立,2.8,539000,18000,60000
MSZ-ZXV2825S-W,三菱電機,2.8,539000,18000,60000
MSZ-ZXV2825-W,三菱電機,2.8,539000,18000,60000
S285ATRS-W,ダイキン,2.8,583000,18000,60000
CS-284DLX-W,パナソニック,2.8,594000,18000,60000
AS-W364R,富士通ゼネラル,3.6,206477,23000,70000
AY-S36X-W,シャープ,3.6,307165,23000,70000
S364ATGS-W,ダイキン,3.6,495000,23000,40000
MSZ-FLV3621S,三菱電機,3.6,495000,23000,70000
RAS-ZJ36R-W,日立,3.6,506000,23000,40000
MSZ-JXV3625-W,三菱電機,3.6,522500,23000,70000
MSZ-JXV3625S-W,三菱電機,3.6,522500,23000,70000
CS-365DHX-W,パナソニック,3.6,550000,23000,70000
CS-365DHX2-W,パナソニック,3.6,550000,23000,70000
S365ATAS-W,ダイキン,3.6,561000,23000,70000
RAS-XJ3625S-W,日立,3.6,572000,23000,70000
MSZ-ZXV3625S-W,三菱電機,3.6,599500,23000,70000
MSZ-ZXV3625-W,三菱電機,3.6,599500,23000,70000
S365ATRS-W,ダイキン,3.6,605000,23000,70000
CS-364DLX-W,パナソニック,3.6,616000,23000,70000
AS-W404R2,富士通ゼネラル,4,225325,23000,70000
AS-Z405S2-W,富士通ゼネラル,4,244146,23000,70000
AS-X405S2-W,富士通ゼネラル,4,272317,23000,70000
AY-S40X2-W,シャープ,4,318303,23000,70000
MSZ-FLV4021S,三菱電機,4,517000,23000,70000
S404ATGP-W,ダイキン,4,528000,23000,70000
RAS-ZJ40R2-W,日立,4,539000,23000,70000
MSZ-JXV4025S-W,三菱電機,4,555500,23000,70000
S405ATAS-W,ダイキン,4,594000,23000,40000
S405ATAP-W,ダイキン,4,594000,23000,70000
CS-405DHX-W,パナソニック,4,594000,23000,40000
CS-405DHX2-W,パナソニック,4,594000,23000,70000
RAS-XJ4025D-W,日立,4,616000,23000,70000
MSZ-ZXV4025S-W,三菱電機,4,621500,23000,70000
MSZ-FZV4025S-W,三菱電機,4,638000,23000,70000
S405ATRS-W,ダイキン,4,638000,23000,40000
S405ATRP-W,ダイキン,4,638000,23000,70000
CS-404DLX2-W,パナソニック,4,638000,23000,70000
AS-W564R2,富士通ゼネラル,5.6,267603,23000,40000
AS-Z565S2-W,富士通ゼネラル,5.6,277011,23000,40000
AS-X565S2-W,富士通ゼネラル,5.6,305182,23000,40000
AY-S56X2-W,シャープ,5.6,348658,23000,40000
MSZ-FLV5621S,三菱電機,5.6,594000,23000,40000
RAS-ZJ56R2-W,日立,5.6,605000,23000,40000
MSZ-JXV5625S-W,三菱電機,5.6,632500,23000,40000
S565ATAP-W,ダイキン,5.6,660000,23000,40000
CS-565DHX2-W,パナソニック,5.6,671000,23000,40000
RAS-XJ5625D-W,日立,5.6,682000,23000,40000
S565ATRP-W,ダイキン,5.6,693000,23000,40000
MSZ-ZXV5625S-W,三菱電機,5.6,698500,23000,40000
CS-564DLX2-W,パナソニック,5.6,704000,23000,40000
MSZ-FZV5625S-W,三菱電機,5.6,715000,23000,70000
AS-W634R2,富士通ゼネラル,6.3,286451,23000,40000
AS-Z635S2-W,富士通ゼネラル,6.3,295792,23000,40000
AS-X635S2-W,富士通ゼネラル,6.3,323963,23000,40000
AY-S63X2-W,シャープ,6.3,370379,23000,40000
MSZ-FLV6321S,三菱電機,6.3,638000,23000,40000
RAS-ZJ63R2-W,日立,6.3,654500,23000,40000
MSZ-JXV6325S-W,三菱電機,6.3,676500,23000,40000
CS-635DHX2-W,パナソニック,6.3,715000,23000,40000
RAS-XJ6325D-W,日立,6.3,737000,23000,40000
MSZ-ZXV6325S-W,三菱電機,6.3,742500,23000,40000
CS-634DLX2-W,パナソニック,6.3,748000,23000,40000
S635ATAP-W,ダイキン,6.3,759000,23000,40000
MSZ-FZV6325S-W,三菱電機,6.3,759000,23000,40000
S635ATRP-W,ダイキン,6.3,781000,23000,40000
AS-W714R2,富士通ゼネラル,7.1,305298,23000,40000
AS-Z715S2-W,富士通ゼネラル,7.1,314573,23000,40000
AS-X715S2-W,富士通ゼネラル,7.1,342743,23000,40000
MSZ-JXV7125S-W,三菱電機,7.1,720500,23000,40000
CS-715DHX2-W,パナソニック,7.1,759000,23000,40000
RAS-XJ7125D-W,日立,7.1,781000,23000,40000
MSZ-ZXV7125S-W,三菱電機,7.1,786500,23000,40000
CS-714DLX2-W,パナソニック,7.1,792000,23000,40000
MSZ-FZV7125S-W,三菱電機,7.1,803000,23000,40000
S715ATAP-W,ダイキン,7.1,836000,23000,40000
S715ATRP-W,ダイキン,7.1,858000,23000,40000
MSZ-FZV8025S-W,三菱電機,8,847000,23000,40000